Index,Loc_cluster,type_category,avg_rating
179,20,Retail_Shopping,4.333333333333330
180,20,Tourism,4.418181818181820
181,21,,4.565625
182,21,Automotive,4.704761904761910
183,21,Finance,4.86
184,21,Food_Beverage,4.68
185,22,,4.735294117647060
186,22,Automotive,4.675
187,22,Education,4.785
188,22,Finance,4.8
189,22,Food_Beverage,4.55
190,22,Healthcare,4.804545454545460
191,22,Retail_Shopping,4.4
192,22,Tourism,4.466666666666670
193,23,,1.6800000000000000
194,23,Automotive,1.9000000000000000
195,23,Finance,1.7666666666666700
196,23,Healthcare,2.0
197,24,,3.8777777777777800
198,24,Automotive,3.75
199,24,Education,3.9
200,24,Food_Beverage,3.9
201,24,Healthcare,3.96
202,24,Retail_Shopping,3.9
203,25,,4.756896551724140
204,25,Automotive,4.75
205,25,Education,4.75
206,25,Finance,4.7
207,25,Food_Beverage,4.733333333333330
208,25,Healthcare,4.738095238095240
209,25,Professional_serv,4.7
210,25,Real_Estate,4.75
211,25,Retail_Shopping,4.733333333333330
212,25,Tourism,4.725
213,26,,4.40952380952381
214,26,Automotive,4.42
215,26,Entertainment,4.3
216,26,Finance,4.44
217,26,Food_Beverage,4.375
218,26,Healthcare,4.360000000000000
219,26,Professional_serv,4.425000000000000
220,26,Retail_Shopping,4.4000000000000000
221,26,Tourism,4.4000000000000000
222,27,,2.942857142857140
223,27,Automotive,2.7
224,27,Education,2.85
225,27,Finance,2.966666666666670
226,27,Food_Beverage,2.85
227,27,Healthcare,3.05
228,27,Real_Estate,3.0
229,27,Retail_Shopping,2.966666666666670
230,28,,4.908108108108110
231,28,Automotive,4.863636363636360
232,28,Finance,4.9
233,28,Food_Beverage,4.827272727272730
234,28,Healthcare,5.0
235,28,Professional_serv,4.975
236,28,Tourism,4.766666666666670
237,29,,2.6571428571428600
238,29,Education,3.0
239,29,Finance,2.6285714285714300
240,29,Food_Beverage,2.6666666666666700
241,29,Healthcare,2.766666666666670
242,29,Retail_Shopping,2.5
243,29,Tourism,2.7
244,30,,3.96
245,30,Automotive,4.01875
246,30,Education,3.9800000000000000
247,30,Finance,3.95
248,30,Food_Beverage,3.942372881355930
249,30,Healthcare,4.0
250,30,Real_Estate,3.94
251,30,Retail_Shopping,3.973333333333330
252,30,Tourism,3.9333333333333300
253,31,,4.918181818181820
254,31,Automotive,4.875
255,31,Food_Beverage,4.86
256,31,Healthcare,4.830769230769230
257,31,Tourism,4.8500000000000000
258,32,,2.9560000000000000
259,32,Education,2.85
260,32,Finance,2.9700000000000000
261,32,Food_Beverage,2.9
262,32,Healthcare,3.025
263,32,Professional_serv,2.9
264,32,Real_Estate,2.9
265,32,Retail_Shopping,2.98
266,32,Tourism,2.977777777777780
267,33,,4.385714285714290
268,33,Automotive,4.383333333333330
269,33,Education,4.6
270,33,Finance,4.375
271,33,Food_Beverage,4.366666666666670
272,33,Healthcare,4.4000000000000000
273,33,Professional_serv,4.416666666666670
274,33,Real_Estate,4.4
275,33,Retail_Shopping,4.388888888888890
276,33,Tourism,4.4
277,34,,3.0928571428571400
278,34,Automotive,3.1
279,34,Finance,3.136842105263160
280,34,Food_Beverage,3.2400000000000000
281,34,Healthcare,3.033333333333330
282,35,,1.0
283,35,Automotive,1.0
284,35,Education,1.0
285,35,Finance,1.0
286,35,Food_Beverage,1.0
287,35,Healthcare,1.0
288,35,Real_Estate,1.4
289,35,Retail_Shopping,1.0
290,36,,4.942608695652170
291,36,Automotive,5.0
292,36,Education,4.9400000000000000
293,36,Finance,4.96
294,36,Food_Beverage,4.8875
295,36,Healthcare,4.901639344262300
296,36,Professional_serv,4.9400000000000000
297,36,Real_Estate,4.933333333333330
298,36,Retail_Shopping,4.963636363636360
299,36,Tourism,4.984615384615390
300,37,,4.937037037037040
301,37,Automotive,4.923684210526320
302,37,Finance,5.0
303,37,Food_Beverage,4.954545454545450
304,37,Healthcare,4.96
305,37,Professional_serv,4.971428571428570
306,37,Real_Estate,4.8
307,37,Tourism,4.875
308,38,,4.848717948717950
309,38,Automotive,4.89375
310,38,Food_Beverage,4.757142857142860
311,38,Healthcare,4.933333333333330
312,38,Professional_serv,4.975
313,38,Real_Estate,5.0
314,38,Retail_Shopping,4.8
315,38,Tourism,4.7
316,39,,2.325
317,39,Finance,2.38
318,39,Food_Beverage,2.6
319,39,Healthcare,2.433333333333330
320,39,Real_Estate,2.316666666666670
321,39,Retail_Shopping,2.4
322,40,,1.0
323,40,Automotive,1.0
324,40,Education,1.0
325,40,Finance,1.0
326,40,Healthcare,1.0
327,40,Real_Estate,1.0375
328,40,Retail_Shopping,1.0
329,40,Tourism,1.3
330,41,,2.75
331,41,Automotive,2.533333333333330
332,41,Finance,2.55
333,41,Healthcare,2.6
334,41,Tourism,2.5
335,42,,4.439024390243900
336,42,Automotive,4.407692307692310
337,42,Finance,4.408333333333330
338,42,Food_Beverage,4.391891891891890
339,42,Healthcare,4.5
340,42,Professional_serv,4.4
341,42,Retail_Shopping,4.3
342,42,Tourism,4.5
343,43,,4.437704918032790
344,43,Automotive,4.375
345,43,Education,4.385714285714290
346,43,Finance,4.4
347,43,Food_Beverage,4.445454545454550
348,43,Healthcare,4.468421052631580
349,43,Professional_serv,4.4
350,43,Real_Estate,4.4
351,43,Retail_Shopping,4.361538461538460
352,43,Tourism,4.42
353,44,,1.9421052631578900
354,44,Automotive,2.05
355,44,Education,1.9
356,44,Finance,1.8571428571428600
357,44,Food_Beverage,1.9
358,44,Healthcare,1.9
359,44,Real_Estate,1.94
360,44,Retail_Shopping,1.95
361,44,Tourism,2.0
362,45,,4.406164383561640
363,45,Automotive,4.316666666666670
364,45,Education,4.4526315789473700
365,45,Finance,4.4
366,45,Food_Beverage,4.345762711864410
367,45,Healthcare,4.3936170212766000
368,45,Professional_serv,4.333333333333330
369,45,Real_Estate,4.404761904761910
370,45,Retail_Shopping,4.361111111111110
371,45,Tourism,4.4185185185185200
372,46,,3.7375
373,46,Automotive,3.7600000000000000
374,46,Education,3.8500000000000000
375,46,Finance,3.6
376,46,Food_Beverage,3.7
377,46,Healthcare,3.825
378,46,Professional_serv,3.8
379,46,Real_Estate,3.7
